"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","F02_用户注册","DS_013","0","0","1","0","0"
"","F11_订单支付","DS_999","0","0","4","0","0"
"","F08_订单列表","DS_124","0","0","1","0","0"
"","F10_取消订单","DS_144","0","0","1","0","0"
"","F04_加入购物车","DS_033","0","0","1","0","0"
"","F09_订单详情","DS_125","0","0","1","0","0"
"","F01_商品信息查询","DS_006","0","0","1","0","0"
"","F07_提交订单","DS_094","0","0","3","0","0"
"","F01_商品信息查询","DS_004","0","0","1","0","0"
"","F06_删除购物车","DS_055","0","0","1","0","0"
"","F03_用户登陆","DS_022","0","0","1","0","0"
"","F05_查询购物车","DS_055","0","0","1","0","0"
"","F03_用户登陆","DS_025","0","0","1","0","0"
"","F01_置顶用例","","0","0","1","0","0"
"","F03_用户登陆","DS_026","0","0","1","0","0"
